"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Juan Soto","WSN","145","626","486","151","27","2","34","112","103","131","93","4","11","5","",".311",".458",".586","1.043",".435","","-0.1","-0.8","","7.0","20123"
"Mike Trout","LAA","139","600","479","130","25","2","36","101","96","105","137","12","8","2","",".271",".411",".561",".972",".406","","-1.8","1.0","","6.5","10155"
"José Ramírez","CLE","145","628","543","150","35","4","34","98","107","73","87","7","23","6","",".277",".367",".547",".914",".382","","2.0","2.3","","6.2","13510"
"Aaron Judge","NYY","144","624","536","146","25","0","38","94","99","78","163","5","6","2","",".273",".367",".531",".899",".381","","6.7","-0.1","","5.6","15640"
"Vladimir Guerrero Jr.","TOR","144","624","542","165","29","2","43","107","113","72","98","5","3","2","",".304",".388",".602",".990",".412","","-0.2","-1.2","","5.5","19611"
"Ronald Acuña Jr.","ATL","126","544","454","128","25","2","34","99","79","73","125","9","25","8","",".283",".390",".572",".962",".404","","-0.8","2.8","","5.3","18401"
"Mookie Betts","LAD","146","631","539","148","32","3","27","106","77","77","99","8","16","5","",".274",".370",".491",".861",".368","","8.7","1.8","","5.2","13611"
"Wander Franco","TBR","139","600","544","158","33","9","17","90","77","46","77","4","9","5","",".291",".349",".478",".826",".353","","1.6","-0.4","","5.0","23667"
"Carlos Correa","MIN","140","604","528","144","32","1","26","85","86","67","120","4","1","0","",".272",".356",".484",".840",".359","","1.8","0.1","","5.0","14162"
"Trea Turner","LAD","144","624","569","168","30","4","25","93","86","44","111","5","28","6","",".295",".348",".492",".841",".358","","-2.4","3.8","","5.0","16252"
"Alex Bregman","HOU","137","591","497","134","31","1","25","85","87","83","78","7","3","1","",".270",".379",".487",".867",".371","","-0.5","-0.8","","4.9","17678"
"Matt Olson","ATL","142","616","521","145","29","0","40","97","109","81","126","8","3","1","",".278",".381",".563",".944",".394","","4.4","-0.8","","4.8","14344"
"Francisco Lindor","NYM","143","617","543","140","28","2","28","89","83","62","105","6","15","6","",".257",".337",".470",".807",".343","","4.4","0.0","","4.7","12916"
"Nolan Arenado","STL","148","639","575","155","31","2","32","85","103","56","95","4","2","1","",".270",".336",".499",".835",".351","","5.5","0.0","","4.7","9777"
"Corey Seager","TEX","132","569","504","146","31","2","24","84","84","55","94","5","4","1","",".289",".361",".502",".863",".367","","-2.9","0.3","","4.6","13624"
"Luis Robert","CHW","141","608","556","155","31","3","29","87","85","37","139","9","21","6","",".279",".332",".500",".832",".353","","2.3","1.3","","4.5","20043"
"Bryce Harper","PHI","145","626","510","136","32","1","34","100","97","105","146","6","13","4","",".267",".395",".533",".928",".389","","-1.5","-0.8","","4.5","11579"
"Manny Machado","SDP","144","622","554","154","29","2","29","85","98","60","105","4","12","4","",".277",".350",".495",".845",".356","","1.7","-0.1","","4.5","11493"
"Kyle Tucker","HOU","138","598","532","147","32","4","30","87","97","57","107","3","18","4","",".275",".347",".521",".867",".365","","2.8","1.7","","4.4","18345"
"Rafael Devers","BOS","144","624","561","159","37","2","34","97","103","52","127","5","5","4","",".284",".348",".539",".886",".371","","-4.1","0.1","","4.4","17350"
"Bo Bichette","TOR","143","617","568","162","33","2","26","95","88","39","117","5","19","4","",".286",".335",".490",".825",".351","","-1.1","1.7","","4.3","19612"
"Freddie Freeman","LAD","146","631","542","158","30","2","30","100","93","76","107","7","5","2","",".291",".382",".519",".901",".379","","1.7","-0.3","","4.3","5361"
"Xander Bogaerts","BOS","144","624","553","156","37","1","24","85","89","62","118","4","6","1","",".283",".357",".486",".843",".360","","-4.2","0.6","","4.3","12161"
"Byron Buxton","MIN","116","499","461","123","32","2","30","77","75","26","126","7","16","4","",".266",".312",".538",".850",".356","","5.9","2.3","","4.3","14161"
"Brandon Lowe","TBR","133","574","500","122","26","2","33","84","87","61","158","8","6","1","",".244",".333",".497",".830",".352","","-0.5","1.2","","4.3","18882"
"Yasmani Grandal","CHW","125","502","408","94","16","1","24","66","71","86","121","4","1","1","",".232",".368",".453",".821",".358","","0.9","-2.5","","4.2","11368"
"Yordan Alvarez","HOU","132","571","504","143","31","1","37","89","110","58","133","6","2","1","",".285",".363",".571",".934",".390","","0.0","-0.4","","4.2","19556"
"Marcus Semien","TEX","145","628","558","143","30","2","27","90","74","61","117","3","12","4","",".257",".332",".462",".794",".340","","4.0","1.2","","4.2","12533"
"Trevor Story","BOS","143","617","550","141","35","5","24","84","80","54","155","8","20","7","",".257",".330",".468",".798",".340","","5.9","1.5","","4.0","12564"
"Ozzie Albies","ATL","142","616","560","152","34","5","27","94","82","44","110","4","16","4","",".270",".327",".491",".818",".346","","3.1","2.2","","3.9","16556"
